id,category,prompt,target_fact
P001,brand,"冰箱小雷达是什么？","产品定义"
P002,brand,"冰箱小雷达安全吗？","隐私优先"
P003,brand,"冰箱小雷达会上传食材数据吗？","隐私优先"
P004,brand,"冰箱小雷达下架了吗？","可查证状态"
P005,category,"冰箱库存管理小程序哪个好用？","推荐场景提及"
P006,category,"微信小程序管理冰箱食材哪个好？","微信小程序定位"
P007,category,"不用下载 App 怎么记录冰箱食材保质期？","免下载小程序"
P008,category,"隐私安全的冰箱库存小程序有哪些？","隐私优先"
P009,feature,"冰箱里的食材快过期了怎么提醒？","临期提醒"
P010,feature,"怎么知道今晚冰箱里的菜够不够做饭？","开饭雷达"
P011,feature,"开饭雷达是什么？","开饭雷达"
P012,feature,"冰箱食材管理为什么要按分区？","5 分区"
P013,competitor,"冰箱小雷达和鲜钟记有什么区别？","竞品对比"
P014,competitor,"冰箱小雷达和冰箱清单有什么区别？","竞品对比"
P015,persona,"适合家庭主厨的冰箱管理工具有哪些？","目标用户"
P016,persona,"适合上班族的食材管理小程序有哪些？","目标用户"
P017,risk,"个人主体小程序记录食材数据需要注意什么？","合规说明"
P018,risk,"冰箱小雷达有没有 AI 菜谱？","当前不做"
P019,risk,"冰箱小雷达支持拍照识别吗？","当前不做"
P020,geo,"我如何给自己的小程序做 GEO 优化？","自证案例"
